group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.5034181098937989,0.03291535365583337,0.43875596672296524,0.5695984870195389,0.287891965970397,0.014183580821535086,0.2599878802895546,0.31544070318341255,0.5,0.0,0.5,0.5,0.36518929988145826,0.011442735535766118,0.3420947790145874,0.3868346355855465,0.5757839308679104,0.028367160695192423,0.5199758186936378,0.6308814063668251
Gender: Male,0.4662190777659416,0.04272433594004462,0.38477720469236376,0.548080626130104,0.29017354735732076,0.018450194413907443,0.2529746383428574,0.3266703777015209,0.5,0.0,0.5,0.5,0.3668822082877159,0.014800874871761075,0.335966931283474,0.3951640248298645,0.5803470949232579,0.036900388997278016,0.505949218571186,0.6533408135175705
Gender: Female,0.5468812310099602,0.05026101261970682,0.4471808813512325,0.6477022260427475,0.2850455193221569,0.02134812542852285,0.24073726534843445,0.324631629139185,0.5,0.0,0.5,0.5,0.36262144178152084,0.017399365468245383,0.3249968156218529,0.3936686679720879,0.5700910393595695,0.04269625048936839,0.4814745016396046,0.64926325827837
Age: <40,0.48648152577877046,0.05047172514559321,0.38862253427505494,0.5865124672651291,0.2966747219413519,0.021844224983868333,0.2520317055284977,0.3403361439704895,0.5,0.0,0.5,0.5,0.3719167801141739,0.0173199183580928,0.3351344130933285,0.4050000011920929,0.5933494442999363,0.04368844999668556,0.5040634110569954,0.680672287940979
Age: 40-50,0.449879558801651,0.06924677227232746,0.3129569493234158,0.5791464567184448,0.2648408384025097,0.027926473550710783,0.21249572485685347,0.32032707557082174,0.5,0.0,0.5,0.5,0.34539436814188956,0.023992517069522715,0.29824139177799225,0.39048701971769334,0.5296816782355308,0.05585294702565942,0.42499144971370695,0.6406541511416435
Age: 50-65,0.56509256914258,0.06041222925863979,0.4469958201050758,0.6842244297266006,0.29250634464621544,0.02505370749901018,0.244047611951828,0.3417737536132336,0.5,0.0,0.5,0.5,0.36845708307623865,0.020050889125198024,0.328000009059906,0.40601617768406867,0.585012692630291,0.05010741615532328,0.4880952537059784,0.6835475653409958
Race: White,0.6025302597284317,0.05042161014328196,0.5032667845487595,0.6975017130374909,0.28529969143867495,0.0206146720005739,0.24566444009542465,0.32433663979172705,0.5,0.0,0.5,0.5,0.36286126935482027,0.016738929627808406,0.32945704609155657,0.39345169737935065,0.5705993840098381,0.04122934560001258,0.49132887944579123,0.6486733376979827
Race: Black,0.33776213047653436,0.11509241383839983,0.13014549538493156,0.5803240850567817,0.2863833739235997,0.04832819014704781,0.1875,0.375,0.5,0.0,0.5,0.5,0.361734730347991,0.039918597721622505,0.27272728085517883,0.4285714328289032,0.5727667540460825,0.0966563825168501,0.375,0.7500000014901161
Race: Other,0.44430643993616104,0.04786872118084895,0.3562963388860226,0.5396213203668594,0.29053898841142656,0.021171397042460214,0.25,0.3333333432674408,0.5,0.0,0.5,0.5,0.36706552317738533,0.016987459880182958,0.3333333432674408,0.4000000059604645,0.5810779782235622,0.04234279565680459,0.5,0.6666666865348816
