group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.5192501469254494,0.013667552082191108,0.4927350655198097,0.5468448027968407,0.5117443321347237,0.013633900903916071,0.48593750298023225,0.5389302462339401,0.5083905034065247,0.009739734679966637,0.4900093212723732,0.5277213543653488,0.47130485543608663,0.011343175265522268,0.44959954619407655,0.49404929429292677,0.5098334394991398,0.011217013284259957,0.4885144136846066,0.5324351981282234
Gender: Male,0.5214406917691231,0.019533179977277618,0.4839844167232513,0.5609390825033188,0.5075033849775791,0.01847290654413357,0.47124687805771825,0.5453283041715622,0.5059874392151833,0.01477753951769174,0.47694292664527893,0.5361887440085411,0.47570415925979614,0.016317239585479044,0.44375027269124984,0.5086598858237267,0.4980818685889244,0.016254982125681473,0.4674548603594303,0.5324435293674469
Gender: Female,0.5103126819431781,0.017807961406083327,0.4746095448732376,0.5451395511627197,0.5118684597313404,0.02037387430690581,0.47174825370311735,0.5514079943299294,0.5073798179626465,0.012688925136144745,0.4827089324593544,0.5325159534811974,0.461943664252758,0.015917413603860786,0.4314794309437275,0.49424670785665514,0.5210665495991706,0.01601002975093501,0.4895689055323601,0.5528733432292938
Age: <40,0.4788265436291695,0.024060001064479156,0.4335620656609535,0.5271432280540467,0.48484085303545,0.024685316483938166,0.4389874957501888,0.5349313482642174,0.489635081410408,0.016934114403093628,0.4581765547394753,0.5232747852802276,0.44504528295993806,0.01974914670085905,0.4089473098516464,0.48719996958971024,0.4883155505657196,0.019786430796609487,0.4521719664335251,0.5293395727872848
Age: 40-50,0.5541666474044323,0.026771223870834252,0.5021777361631393,0.607131128013134,0.5276401202082635,0.028630210875522037,0.4743240371346474,0.5837183788418769,0.5189231961965561,0.019566855102510695,0.4824259489774704,0.5576605513691902,0.4769034140110016,0.02377832903127185,0.43137959837913514,0.5270990863442421,0.5190019142627716,0.023027746105122586,0.47323107868433,0.5653346940875054
Age: 50-65,0.5299278374612332,0.020148884433422904,0.49166522175073624,0.5697509065270424,0.5233797035813331,0.019053574127384437,0.48643637299537656,0.5618297263979912,0.5175991652309895,0.014318562313847465,0.4896015219390392,0.5465035855770111,0.4879147816002369,0.016227318990688477,0.45551038682460787,0.5192866802215577,0.5216860887706279,0.016200211546392305,0.48858126923441886,0.5532527774572372
Race: White,0.5244427875876426,0.017984121935968128,0.49015721678733826,0.5625889897346497,0.5111740096509456,0.018061229765215885,0.4758219838142395,0.5467248946428299,0.5085489627420903,0.013811348138351272,0.4807978980243206,0.5363514184951782,0.4749409278035164,0.015594367929456772,0.44513164162635804,0.5062802821397782,0.503937433630228,0.015171711443866481,0.4745751291513443,0.5332861647009849
Race: Black,0.5154012872576713,0.02747769568644701,0.46153606548905374,0.569287022948265,0.499019577562809,0.027813597658006565,0.44618023931980133,0.5529158994555473,0.4992208913862705,0.017131684081866914,0.46627859845757486,0.5317674726247787,0.4529458678364754,0.021732516491449496,0.4109651394188404,0.4940715357661247,0.5128650796115398,0.022911217043011294,0.4680298112332821,0.5555555239319802
Race: Other,0.5048041146695614,0.02956478426584104,0.44491641968488693,0.5605299919843674,0.523482460975647,0.029480295451839545,0.46317157670855524,0.5777067571878434,0.5160903295278549,0.020257550761162802,0.4752967283129692,0.5538144052028656,0.477667515873909,0.023655403543759335,0.4286339171230793,0.5230432510375976,0.5221909113824368,0.02358368589618177,0.4734354242682457,0.5650052309036254
