group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6707544833421707,0.013668354281593334,0.6503284305334092,0.6965110078454018,0.6255515456199646,0.015814090148650695,0.5982570201158524,0.6460107535123825,0.627059605717659,0.01544526916338811,0.5994288504123688,0.6462324976921081,0.614028537273407,0.016708859395351498,0.5813973769545555,0.6348593160510063,0.6144500225782394,0.01654834172111724,0.5816000163555145,0.635100020468235
Gender: Male,0.67282375395298,0.020849600259670427,0.6366875752806663,0.7081884205341339,0.6259342432022095,0.01650601788315942,0.5969850197434425,0.6503832131624222,0.6248508185148239,0.017039618749428536,0.5964403256773949,0.6490098148584366,0.6073007106781005,0.02123213019590215,0.5670538961887359,0.6370102450251579,0.607675102353096,0.021170332488470434,0.5675357416272163,0.6371230989694595
Gender: Female,0.6731168299913406,0.02262413321580954,0.6307666435837745,0.7023985847830773,0.6261333793401718,0.02693427667152375,0.5734955683350563,0.663716371357441,0.6291400045156479,0.027121223128964256,0.5763375908136368,0.6651679590344429,0.6196213304996491,0.02737200249003275,0.5675516545772552,0.6563023030757904,0.6212708979845047,0.026884482476237904,0.5717773899435997,0.6568001165986062
Age: <40,0.637406411767006,0.021200710225759,0.604668128490448,0.6790965676307678,0.6122833549976349,0.022597895974364828,0.5713869750499725,0.6481845006346703,0.6035425245761872,0.020269715838022864,0.5658659517765046,0.6374417275190353,0.595575612783432,0.02000883256271789,0.5595921069383621,0.6318208366632461,0.6039169132709503,0.019359971366796656,0.5703698337078095,0.6387930259108543
Age: 40-50,0.7161793082952499,0.03087380062359618,0.6608619451522827,0.7646517008543015,0.6411099016666413,0.028721650491565328,0.5904661029577255,0.6836601704359054,0.6395453214645386,0.027747610138607652,0.5912597417831421,0.6841832682490349,0.6254238009452819,0.03161884506354352,0.5638010337948799,0.6762095198035241,0.6261903792619705,0.03185000217678285,0.5639562755823135,0.676410111784935
Age: 50-65,0.654678800702095,0.02286949523346172,0.6171069711446762,0.6951988905668258,0.6105833202600479,0.021758620398126434,0.5716179445385933,0.6399614408612251,0.6220324575901032,0.023840809757676346,0.5800755456089973,0.6515440136194229,0.6032690435647965,0.024950118794760723,0.555645227432251,0.6376840069890022,0.6157968401908874,0.02527603533037102,0.564615385234356,0.6482297167181968
Race: White,0.6739260584115982,0.018608230580300825,0.6468532592058182,0.708320140838623,0.6255504727363587,0.017651504938179657,0.593279680609703,0.6509907364845275,0.6202923029661178,0.01664200174482325,0.5890270680189132,0.6438042730093002,0.6145772486925125,0.01749705181869279,0.5793701335787773,0.6377990335226059,0.6184537053108216,0.017887942479349626,0.5826211705803871,0.6426892578601837
Race: Black,0.6382799237966538,0.0379370900453045,0.5690583929419517,0.7079284369945525,0.587454280257225,0.02899789298397952,0.5272363945841789,0.6311378359794616,0.613038894534111,0.03729616535252284,0.5363141059875488,0.6694587245583534,0.5749781757593155,0.03181541925259423,0.5069394841790199,0.6218892768025398,0.6150178521871567,0.028285703643903724,0.5551049396395683,0.6574655711650848
Race: Other,0.6449055820703506,0.0367379270442474,0.5957103714346885,0.7255360320210457,0.6191919952630996,0.03692241441139336,0.5672970399260521,0.6950240120291709,0.6180879205465317,0.03711280330928306,0.565936304628849,0.6964336872100829,0.6029140800237656,0.03863142959478066,0.5496540337800979,0.6801364704966544,0.604120671749115,0.03865851420343262,0.549779188632965,0.6815468490123748
