group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6789254427552224,0.015725189135824724,0.6475350067019463,0.7095730915665627,0.6361920911073685,0.01308585120038105,0.6094997644424438,0.6608445286750794,0.6351544280052185,0.01292652973066289,0.6091029033064842,0.6605412617325783,0.6353941769599915,0.01298839951559199,0.6090091332793236,0.6606155753135681,0.6472062073945999,0.013363292413190921,0.6195273831486702,0.6727224633097648
Gender: Male,0.6815633785128593,0.02447708770093006,0.6326579824090004,0.7281969368457795,0.6389596340060234,0.01944401577466568,0.599699841439724,0.6770800620317459,0.6403673583865166,0.01947366264259927,0.6011727631092072,0.677411699295044,0.6390793129801751,0.01947237504489196,0.5991263538599014,0.6762075096368789,0.6471405386924743,0.020210701959354132,0.6051215797662735,0.6857486084103585
Gender: Female,0.6771474509835244,0.020168565595332796,0.6360426157712936,0.7167171999812126,0.6337716306447982,0.01777999662836083,0.5994503334164619,0.6678542226552964,0.6295961795449256,0.017224702797592518,0.5963580802083015,0.663169863820076,0.6303792469501496,0.01747457089651724,0.5970484539866447,0.6644761741161347,0.6471066239476204,0.01779778353183562,0.6117265895009041,0.6803417146205902
Age: <40,0.6485133334994316,0.025636677257761985,0.5993917375802994,0.6999384462833405,0.6192735006213188,0.0217488534338867,0.5760444089770317,0.6600341349840164,0.6189658787250519,0.0217529550956639,0.5766020387411117,0.6598785072565079,0.6176913948059082,0.021754295027290947,0.574880664050579,0.6587571904063225,0.6185197684168816,0.021629240775355302,0.5759025767445565,0.6589537695050239
Age: 40-50,0.7526149089932441,0.02549530076306547,0.7024458587169647,0.8015995368361473,0.6932989960312843,0.025782228199338016,0.6430319607257843,0.7432059526443481,0.6687387669086456,0.023105012446189854,0.6198794484138489,0.7147235199809074,0.6680554605722427,0.025316429049566904,0.6160867854952812,0.7181932359933854,0.6900695821046829,0.026125140835905877,0.6367011770606041,0.7415159091353416
Age: 50-65,0.6508364484906196,0.026639810993053677,0.5993132412433624,0.7026554018259048,0.6103632860183715,0.021469518352002663,0.5696068286895752,0.6546744227409362,0.6125786877274513,0.021160329574414487,0.5714527949690819,0.6528499692678451,0.6107274571061134,0.021317316159246986,0.5698941618204116,0.6528496161103249,0.6449239212274551,0.021728079765045566,0.6004925444722176,0.6871217399835586
Race: White,0.6657127180099487,0.02222163369350983,0.6246084630489349,0.7101190477609635,0.6353309223651886,0.017985040389366193,0.6022301837801933,0.6697237133979798,0.6354273413419723,0.017996859238136806,0.6022479578852653,0.6695805653929711,0.6350146820545196,0.018019429378606098,0.6018929600715637,0.6693400725722313,0.6355536621212959,0.0180946269091266,0.6022574543952942,0.670203621685505
Race: Black,0.6757637367844581,0.030518569172879317,0.616363063454628,0.7343975633382797,0.608776907324791,0.026661717575547094,0.5559937819838524,0.6623842000961303,0.5991189483404159,0.024219383892665307,0.5508317351341248,0.6441886216402054,0.6020331665873527,0.02507188328692865,0.5525095909833908,0.6487242192029953,0.7095255418419838,0.02404587017380934,0.6599437057971954,0.7566172540187835
Race: Other,0.6245504614710807,0.03641893783017608,0.5521232634782791,0.6977382719516754,0.582616923481226,0.031078543347046267,0.5212520241737366,0.6442733526229858,0.5813059589862823,0.030541798442718676,0.5221438586711884,0.6421167746186256,0.580536963492632,0.03077537476961269,0.5202960863709449,0.6411857277154922,0.5980834094285965,0.030948910997196197,0.5389585047960281,0.6611592516303062
