group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6420292645692826,0.020467159104784315,0.6017986699938774,0.6721895635128021,0.5985148251056671,0.017773026078584577,0.5614271834492683,0.628045018017292,0.5911038905382157,0.0171679103696851,0.5570121377706527,0.6218110471963882,0.5907580822706222,0.018048021539818982,0.5556307390332222,0.6231600165367126,0.6149635136127471,0.017994286782157743,0.5785714581608772,0.6447341054677963
Gender: Male,0.6420292645692826,0.020467159104784315,0.6017986699938774,0.6721895635128021,0.5985148251056671,0.017773026078584577,0.5614271834492683,0.628045018017292,0.5911038905382157,0.0171679103696851,0.5570121377706527,0.6218110471963882,0.5907580822706222,0.018048021539818982,0.5556307390332222,0.6231600165367126,0.6149635136127471,0.017994286782157743,0.5785714581608772,0.6447341054677963
Age: <40,0.6249516040086747,0.041583343874471275,0.5503149777650833,0.6953458428382874,0.6007176041603088,0.033926016086823066,0.5360270664095879,0.6593992471694946,0.5999045640230178,0.03368256645515865,0.5360067993402481,0.6585437402129173,0.5983899772167206,0.034002487682757584,0.5360091745853424,0.6581178516149521,0.5995027869939804,0.03384043300756214,0.5378666386008263,0.6586118191480637
Age: 40-50,0.7127629935741424,0.0336716324310814,0.6424374967813492,0.76437419205904,0.6510089814662934,0.027317598736374963,0.6005164176225662,0.6933837026357651,0.6347990006208419,0.024873061820440714,0.5892883643507958,0.676015117764473,0.6286293923854828,0.02731249135511199,0.5785003006458282,0.6748946905136108,0.6423646569252014,0.026895937756019138,0.5982096284627915,0.6827905043959618
Age: 50-65,0.5984240144491195,0.026210667712495018,0.5512876451015473,0.6470039904117584,0.5474961146712303,0.023706551990563964,0.5015516199171544,0.5855070441961289,0.5423492759466171,0.022142950347014495,0.501103837788105,0.5782092943787575,0.5414176344871521,0.023574721474925318,0.49893604069948194,0.5793996423482894,0.6109627962112427,0.021981302013981366,0.5690290629863739,0.6429002910852433
Race: White,0.6273925691843033,0.023045073377709478,0.5783605843782424,0.6663710922002792,0.5895392537117005,0.01960985869392824,0.5439610928297043,0.6125928029417992,0.5844787687063218,0.018660725383291634,0.5416562959551812,0.606407904624939,0.5797301262617112,0.019023428965431008,0.5381172820925713,0.6024640694260597,0.5872843712568283,0.018229395818433095,0.5478328377008438,0.6105747178196907
Race: Black,0.6896463394165039,0.04787144493183789,0.6013424828648567,0.7875770717859267,0.6222491919994354,0.034873304726925625,0.5724063292145729,0.6934357821941375,0.6239427268505097,0.03406775704871869,0.5691572204232216,0.6926835596561431,0.6217745125293732,0.03440741743071199,0.5711469694972038,0.6899555847048758,0.7248527884483338,0.029355455126160643,0.6782102644443512,0.7789379939436912
Race: Other,0.5978357315063476,0.048562915995537914,0.5180424571037292,0.6856547057628631,0.5466012880206108,0.03579166317288728,0.4836756676435471,0.5982475638389587,0.5434705689549446,0.03403018547672173,0.4840128630399704,0.5926106601953506,0.5412241220474243,0.03660912950649401,0.47987211421132087,0.5943893790245056,0.5924627840518951,0.03936436588110262,0.5183483034372329,0.644912627339363
