model_a,model_b,auc_a,auc_b,diff,r_direct,r_from_variance,se_a,se_b,se_diff_paired,se_diff_if_independent,variance_reduction_from_pairing,n_images,n_patients
Demographics,Image only,0.6278877412583831,0.6586012559941296,-0.03071351473574646,0.20439542135516361,0.20439542135516367,0.018084173391012745,0.016750537907831296,0.021995160282040783,0.02464990562736309,0.10769799225419163,1965,1224
Demographics,Image+demo,0.6278877412583831,0.6848858342292531,-0.056998092970869996,0.26296606071922723,0.26296606071922696,0.018084173391012745,0.01709553034058488,0.02137049556623172,0.02488562807851294,0.14125150874999604,1965,1224
Image only,Image+demo,0.6586012559941296,0.6848858342292531,-0.026284578235123535,0.8526427739589043,0.8526427739589042,0.016750537907831296,0.01709553034058488,0.009193108969805654,0.023934027613996593,0.6158979542402828,1965,1224
