model_a,model_b,auc_a,auc_b,diff,r_direct,r_from_variance,se_a,se_b,se_diff_paired,se_diff_if_independent,variance_reduction_from_pairing,n_images,n_patients
Demographics,Image only,0.5762086383726684,0.6540864605198041,-0.07787782214713568,0.1678212885574355,0.16782128855743542,0.0190172288291672,0.01636727123016516,0.022914414754697625,0.02509068671564611,0.08673624542892244,1965,1224
Demographics,Image+demo,0.5762086383726684,0.6518946569054079,-0.07568601853273949,0.16977245380308567,0.16977245380308537,0.0190172288291672,0.016757319633045005,0.023114007345570505,0.025346848988088116,0.08809148796234778,1965,1224
Image only,Image+demo,0.6540864605198041,0.6518946569054079,0.0021918036143961928,0.8895837514435481,0.8895837514435477,0.01636727123016516,0.016757319633045005,0.007792317953178722,0.023424246600602286,0.6673396551000123,1965,1224
