model_a,model_b,auc_a,auc_b,diff,r_direct,r_from_variance,se_a,se_b,se_diff_paired,se_diff_if_independent,variance_reduction_from_pairing,n_images,n_patients
Demographics,Image only,0.6423259142647485,0.6540864605198041,-0.011760546255055626,0.17856166530174672,0.17856166530174683,0.018015318606737912,0.01636727123016516,0.02207118739999527,0.024340075431766216,0.09321614627413288,1965,1224
Demographics,Image+demo,0.6423259142647485,0.6518946569054079,-0.009568742640659433,0.24132131592493639,0.24132131592493627,0.018015318606737912,0.016757319633045005,0.021439571560528486,0.02460405384863057,0.12861629663024876,1965,1224
Image only,Image+demo,0.6540864605198041,0.6518946569054079,0.0021918036143961928,0.8895837514435481,0.8895837514435477,0.01636727123016516,0.016757319633045005,0.007792317953178722,0.023424246600602286,0.6673396551000123,1965,1224
