model_a,model_b,auc_a,auc_b,diff,r_direct,r_from_variance,se_a,se_b,se_diff_paired,se_diff_if_independent,variance_reduction_from_pairing,n_images,n_patients
Demographics,Image only,0.6286114097510197,0.6586012559941296,-0.029989846243109852,0.21047115183570156,0.21047115183570178,0.017960631558459637,0.016750537907831296,0.02182943455960676,0.024559413799609093,0.11115815964816667,1965,1224
Demographics,Image+demo,0.6286114097510197,0.6848858342292531,-0.05627442447823339,0.2855474394376997,0.2855474394376999,0.017960631558459637,0.01709553034058488,0.020963986917097995,0.024795996523725248,0.15454146410130032,1965,1224
Image only,Image+demo,0.6586012559941296,0.6848858342292531,-0.026284578235123535,0.8526427739589043,0.8526427739589042,0.016750537907831296,0.01709553034058488,0.009193108969805654,0.023934027613996593,0.6158979542402828,1965,1224
