iter	Logloss
453	0.675435562
454	0.675435562
455	0.675435562
456	0.675435562
457	0.675435562
458	0.675435562
459	0.675435562
460	0.675435562
461	0.675435562
462	0.675435562
463	0.675435562
464	0.675435562
465	0.675435562
466	0.675435562
467	0.675435562
468	0.675435562
469	0.675435562
470	0.675435562
471	0.675435562
472	0.675435562
473	0.675435562
474	0.675435562
475	0.675435562
476	0.675435562
477	0.675435562
478	0.675435562
479	0.675435562
480	0.675435562
481	0.675435562
482	0.675435562
483	0.675435562
484	0.675435562
485	0.675435562
486	0.675435562
487	0.675435562
488	0.675435562
489	0.675435562
490	0.675435562
491	0.675435562
492	0.675435562
493	0.675435562
494	0.675435562
495	0.675435562
496	0.675435562
497	0.675435562
498	0.675435562
499	0.675435562
