group,n_samples,n_patients,AUC_full,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_full,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_full,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_full,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_full,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,1965,1224,0.6286114097510197,0.6284291156200893,0.017983455445187934,0.5928637596869601,0.6651951022468618,0.7031055900621118,0.7018336814729282,0.024285814018602702,0.6534346373098631,0.7465654204982176,0.4926022628372498,0.49161929920064973,0.027304798914182134,0.44089184130094616,0.5486046731570788,0.579324462640737,0.5778838771563769,0.024115313448875488,0.529096127902794,0.6272529789377967,0.5816793893129771,0.5815615111950357,0.01808451148451287,0.546066579208598,0.6191766730998252
Gender: F,1006,670,0.6329583659746704,0.6323156178263541,0.02432116674581116,0.5840394299050126,0.6768431406766768,0.6764705882352942,0.674318374436471,0.029942939685875008,0.617203217350881,0.7327609548114029,0.5827702702702703,0.5814077981023743,0.033296894835412774,0.5162326943556976,0.6460639807146646,0.6261343012704175,0.6239591863621676,0.02747476984661603,0.5692724323112734,0.6797194040342044,0.5904572564612326,0.5899094338379943,0.02318005029244854,0.5457177710173321,0.6353176195738576
Gender: M,959,554,0.626345382602249,0.6266803665551005,0.025950270267079592,0.574934197959362,0.6782968927783134,0.7491525423728813,0.7481778399726237,0.03810237617247245,0.6704928785607196,0.8138740104862753,0.39676840215439857,0.3963641273802129,0.04176723926814722,0.31467532467532466,0.4803579858710863,0.5187793427230047,0.5172237673341168,0.04106054034422447,0.43574508490449465,0.5952054810555691,0.5724713242961418,0.5728251012155703,0.02760123344976259,0.5194595152654363,0.6267389596102467
Age: Adult,480,293,0.5998870036547256,0.6023711102565281,0.03879094186049724,0.5263509883703692,0.678928030140493,0.6602870813397129,0.6607474808237304,0.05001433436824992,0.5584149457100276,0.7539287860576923,0.5092250922509225,0.5110490044014806,0.05544513658363864,0.3992975706207574,0.6154028436018958,0.575,0.5749804449483629,0.047721687763263035,0.4751074402363685,0.6643967197305062,0.575,0.577290554064578,0.037318210293487815,0.5,0.6516225806451613
Age: Senior,828,488,0.6014054473199574,0.5995218868822954,0.02901799880760399,0.5394737510816101,0.6562989572001776,0.7580174927113703,0.7546919910051044,0.033899859452472425,0.6859714897824655,0.8160032258064516,0.47882136279926335,0.47719178564530873,0.04199185363892807,0.3991490266992873,0.5656083392729864,0.5869074492099323,0.5838826669183868,0.03764563498440722,0.5132077149295573,0.6586995387124726,0.5579710144927537,0.5567325816707739,0.030134089038268554,0.4962218265885641,0.6173070994644336
Age: Young,657,443,0.6682349123945491,0.6673463644688777,0.028362773305117904,0.6105666941941494,0.7217584049876603,0.6640316205533597,0.6619447865515824,0.04091671704273948,0.5772137450438544,0.742435064935065,0.5014925373134328,0.4990888907129598,0.040818576762050744,0.4182057593927059,0.5797502632766661,0.5714285714285714,0.5682710711221136,0.03608466774970212,0.4963121353913466,0.6382447811821395,0.6164383561643836,0.6159099362986373,0.027192429490955305,0.5629953012635017,0.6704029144952712
Race: black,504,296,0.4669870801033592,0.4651470505966292,0.03622523310620066,0.3961626793387198,0.5393062858954278,0.7485029940119761,0.7467386544180958,0.02803694140773312,0.6890210027100271,0.7971630112016574,1.0,1.0,0.0,1.0,1.0,0.8561643835616438,0.8547128277963937,0.018457818679697095,0.815882101463044,0.8871348966570857,0.75,0.7482724263377171,0.027828143810969964,0.6925997814257416,0.7973870974505199
Race: others,389,245,0.6184088427947598,0.6160729091678167,0.038486515293825053,0.5419094681357163,0.6860169186540584,0.6341463414634146,0.632897356238646,0.04479261576077683,0.5444734186880463,0.7152574967405476,0.7947598253275109,0.7898418341378163,0.04294913650654113,0.699989270386266,0.8729303692010875,0.7054263565891473,0.7018428910469574,0.037716792903269576,0.6265171161825727,0.7706413607355614,0.609254498714653,0.6072555193085949,0.03907677494556264,0.5299019607843137,0.6816080016029923
Race: white,1072,683,0.5581881169158991,0.5584460693563021,0.024670022770146623,0.5109161404407047,0.6059631806146623,0.5294117647058824,0.5215471276387889,0.14076992027615406,0.26625000000000004,0.7857142857142857,0.01651376146788991,0.01633853283695624,0.006149473476231601,0.005780068919519786,0.029258840582845638,0.03202846975088968,0.031616265146633356,0.011710126682156765,0.011320754716981131,0.05608002665217162,0.4925373134328358,0.4937402288160045,0.023514706350201555,0.4458203887194447,0.5408276429920075
