group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.5952875393033028,0.016597472266861053,0.5635902345180511,0.6284643694758415,0.5787869158387184,0.015988378589599717,0.5467551663517952,0.6099063128232955,0.5548576728701592,0.011173371716805382,0.5327857747673989,0.5767350301146508,0.538181106865406,0.013701225846761535,0.5122584104537964,0.5642762705683708,0.6008824556469917,0.015062267856383984,0.5711977168917656,0.6303624421358108
Gender: Male,0.5871417157053948,0.024849087783166312,0.5385155588388443,0.6356620028614998,0.580495824098587,0.021960520502668602,0.5384699448943138,0.6236880332231521,0.5643073700070381,0.01746070647440156,0.5305753380060196,0.5985794633626937,0.5557334067225457,0.019849516589268295,0.5181492865085602,0.5948958665132522,0.6004564787745476,0.021630603515381118,0.5587848231196404,0.6415023788809776
Gender: Female,0.6046936067938805,0.02157831235534047,0.5642776846885681,0.6460357725620269,0.5778509590029717,0.024248435175232105,0.5298806369304657,0.62380510866642,0.5450848336219788,0.014007381196267182,0.5176482141017914,0.5728208392858505,0.5165356274843216,0.018375842517994078,0.4809417948126793,0.5546561762690544,0.6010294547080993,0.02079848958730693,0.5582810699939728,0.6427266493439674
Age: <40,0.5908854179382325,0.02716071185686992,0.5387466937303543,0.6455901145935059,0.5723641737103462,0.0244932778510963,0.5279382169246674,0.6196289956569672,0.5621837658882141,0.020940207634475856,0.5241557344794273,0.6057798996567726,0.5474102625250816,0.022627993445283084,0.5033414840698243,0.5929435402154922,0.5653203827738762,0.023269107153122706,0.5210837215185166,0.6094719886779785
Age: 40-50,0.6265110630393028,0.031236545710546508,0.5651296809315681,0.6871217995882034,0.6025288400053977,0.03250672110665282,0.535846495628357,0.6651963084936142,0.5660624788999558,0.02084389579235057,0.5230653151869774,0.6064381912350655,0.541299492686987,0.02650745693271156,0.4885114669799805,0.591562670469284,0.6033635706305503,0.03008038836479257,0.5402722343802452,0.6565702885389328
Age: 50-65,0.5513899856805802,0.02600784341940546,0.5016124486923218,0.6031813859939575,0.5370543066859246,0.026911606416311667,0.48757068887352945,0.5895923003554344,0.5206419796943664,0.014861753261978921,0.49349321275949476,0.5494726076722145,0.4986578931808472,0.01953567129012734,0.45967385172843933,0.5377059295773506,0.627194328725338,0.024126984544769723,0.5771618768572807,0.6723046839237213
Race: White,0.6092558149695396,0.020938002020906742,0.5693665832281113,0.6508205115795136,0.5911962909698486,0.0202311033495627,0.5532497137784957,0.6329301998019219,0.5644393305182457,0.014398139733323718,0.5376433923840522,0.5934993699193001,0.5315975430011749,0.01797536826323704,0.4985023267567158,0.5674820527434349,0.5681660843491554,0.019338530378303354,0.5317475661635399,0.6055260494351387
Race: Black,0.5881647945046425,0.03393958778808341,0.5214144870638847,0.6535707160830497,0.5597913426160812,0.02814420047913484,0.5046686172485352,0.6148905619978905,0.5496285672187805,0.023151994725375137,0.5038740053772927,0.5945798218250274,0.5506292025744915,0.02509928468762815,0.5009598076343537,0.5983351856470108,0.6840633967518807,0.0265448946840995,0.628568360209465,0.7333333492279053
Race: Other,0.563371887922287,0.03920146107788688,0.48477096632122996,0.6386290788650512,0.5457001003324986,0.0380316584657189,0.4729109302163124,0.6243878692388535,0.5303035523295403,0.02555332189608857,0.48157574236392975,0.5802917510271072,0.507651088476181,0.03145092037124986,0.44873326644301414,0.5695472061634064,0.5821082263290882,0.03556235966451475,0.5116472557187081,0.6523210227489471
