group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.7000242680311203,0.016689357034918348,0.6669160038232803,0.7227038100361824,0.636792528629303,0.016612728320841014,0.6043382853269577,0.6591679736971855,0.6388424426317215,0.01579008629067077,0.6078419283032417,0.658322063088417,0.6375051200389862,0.016259052890648953,0.6056018084287643,0.6585450977087021,0.6658000260591507,0.014753306271756935,0.6379000410437584,0.685100032389164
Gender: Male,0.7180741399526596,0.01954841776440178,0.6810492724180222,0.7473759591579437,0.6481806725263596,0.02347297998412516,0.601918751001358,0.6798558741807937,0.6460250824689865,0.021444307128383796,0.6029967501759529,0.6718223676085472,0.6466285586357117,0.02210247572246718,0.6024214789271355,0.6742319673299789,0.6842227727174759,0.020017658153535282,0.6413679823279381,0.7090967580676079
Gender: Female,0.6826254397630691,0.02592229701587436,0.6329132601618767,0.7227484062314034,0.6255593717098236,0.02039681502747961,0.5890831187367439,0.6600825190544128,0.6301041126251221,0.02121461500826435,0.5920818865299224,0.6658546611666679,0.6265317142009735,0.020687830169102847,0.5893779635429383,0.6614767476916313,0.6469640672206879,0.019125288030015692,0.6086248964071274,0.6758070275187492
Age: <40,0.7139795660972595,0.03716736785888025,0.6549484580755234,0.7703259333968162,0.6605858743190766,0.029137134995024655,0.6000927329063416,0.6999002277851104,0.6607568681240081,0.028688045928364762,0.6022237271070481,0.699153009057045,0.6462450653314591,0.028752546829227357,0.5889480903744697,0.6805786579847336,0.6469261020421981,0.028801477597243233,0.5898351773619652,0.6818928048014641
Age: 40-50,0.728150138258934,0.042231255597921416,0.6594190657138824,0.7954058766365051,0.6514163225889206,0.03662054737236754,0.5940722867846489,0.7155387744307518,0.651301696896553,0.03577531904647626,0.5950696647167206,0.7126364231109619,0.6506439208984375,0.03634772051426651,0.5943345323204994,0.7135650038719177,0.6794173449277878,0.03149564007371352,0.6288585498929024,0.7318235740065574
Age: 50-65,0.6647107124328613,0.02367639223115698,0.6350746333599091,0.7149297237396239,0.6043374449014663,0.023504338583172437,0.5622702598571777,0.6460428297519684,0.5941447645425797,0.021488148327444483,0.5577001929283142,0.6353910207748413,0.5968202948570251,0.022179184840891604,0.558877845108509,0.6389439731836318,0.6695872575044632,0.014810060372445637,0.6450529843568802,0.6918000265955925
Race: White,0.7007891327142716,0.02471143161379995,0.6619174152612686,0.7487166300415993,0.6392880320549011,0.0212586109701289,0.6025892943143845,0.6729720115661622,0.6395804703235626,0.020577986738581026,0.6029891237616539,0.672501142323017,0.6389279186725616,0.02083694074686936,0.6024762943387032,0.6711770296096802,0.6483059167861939,0.020856842614621694,0.6138236671686172,0.6798601403832436
Race: Black,0.6412502199411392,0.03766851459746417,0.5818030148744583,0.7003857612609863,0.5963234737515449,0.03273728134243335,0.5302959673106671,0.645798909664154,0.5968084573745728,0.033983289085644346,0.5271561220288277,0.6529213309288024,0.5956285268068313,0.03335339614539537,0.5275660455226898,0.6488533034920693,0.719434666633606,0.02614961142148874,0.6628598287701607,0.755661803483963
Race: Other,0.6972175687551498,0.04883452237029433,0.6062893748283387,0.767655536532402,0.613440927863121,0.04774327601517301,0.5279703184962272,0.6860578581690788,0.6199795663356781,0.048287809779978146,0.5298365533351899,0.6881157279014587,0.6138401240110397,0.048380211843440775,0.5268785282969475,0.6859710976481438,0.6422622531652451,0.043904617571799115,0.5594897568225861,0.7115997910499573
