group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6888421062231064,0.016194753621413246,0.6561132133007049,0.717539070546627,0.6226295131444931,0.014834474431357712,0.5915850266814232,0.6492233023047447,0.6046727494597435,0.012617116979071833,0.5784469664096832,0.6277862370014191,0.6026585392355919,0.01373858758988477,0.5745434165000916,0.6277005851268769,0.6363102199435234,0.014490580081363603,0.6056880757212639,0.6628999516367913
Gender: Male,0.6987789008021354,0.02514413873676552,0.6482167184352875,0.7459690496325493,0.6257802798748017,0.022697220300101115,0.5798815354704857,0.6689357757568359,0.613126699745655,0.020229614259544934,0.5719106167554855,0.6494929820299148,0.6125892475247383,0.021366377700831326,0.5691033110022545,0.6513726994395256,0.6384904922246933,0.022296107724615453,0.5946209862828254,0.6796693235635757
Gender: Female,0.6807732145786285,0.020726608179736206,0.6400148421525955,0.7229191288352013,0.6196528508663177,0.019148467323171253,0.5807074919342995,0.6533647134900094,0.5960473856925964,0.015535923997792656,0.5650988757610321,0.6234361305832863,0.5912126707434654,0.017606584654900035,0.5547931268811226,0.6230439707636833,0.6340087339878082,0.018744577790979558,0.5975767612457276,0.6682159587740898
Age: <40,0.6681354591250419,0.025592982226929146,0.6148857027292252,0.7173283830285072,0.6026154916286468,0.022823330731181698,0.5576323509216309,0.6470479592680931,0.6004798491001129,0.022242333182175816,0.5568031087517739,0.644533847272396,0.5984653005599976,0.022514083709840333,0.5530994176864624,0.6431767150759697,0.6017787555456161,0.022757068147083316,0.5567865058779716,0.6467958092689514
Age: 40-50,0.7249267963767052,0.030259919530671114,0.6639694064855576,0.7821697488427162,0.6724788984060287,0.026929564473058356,0.6171976327896118,0.7232686638832092,0.6383332149386406,0.022967688155751512,0.590916445851326,0.6836872711777687,0.6328372104763985,0.02648044610556006,0.579139444231987,0.6827447593212128,0.6655331881046295,0.027292980760996063,0.6074376955628396,0.7145672500133514
Age: 50-65,0.6598956444859505,0.027348957532134024,0.6046818733215332,0.7163664251565933,0.5845326745510101,0.02676763990224881,0.5299047976732254,0.6378386288881301,0.5600124246478081,0.018432252436883987,0.5220794022083283,0.5949957504868507,0.5547520253062248,0.02128073035578938,0.511557400226593,0.5958558261394501,0.6463762969970703,0.02356759050795155,0.5999878287315369,0.6914154589176178
Race: White,0.6754294784069061,0.02297262584893794,0.6317062616348267,0.7215012654662132,0.6159639086127281,0.019881485738429773,0.5756408631801605,0.6576266542077065,0.6086620225310325,0.01828791830520149,0.5710043177008629,0.6455072730779647,0.6030449132919311,0.01901847513127987,0.5647939577698707,0.6412334710359573,0.6104779626727104,0.019746151365115202,0.5705031976103783,0.6503707185387612
Race: Black,0.6743118458986282,0.03500528172689313,0.6056896641850471,0.7414768114686012,0.5809704868793487,0.037084302957580216,0.5101734697818756,0.6564039915800095,0.549793645054102,0.023486979031628837,0.5058410957455635,0.5976920545101165,0.547597655236721,0.0289778700270378,0.49354518577456474,0.6061464607715606,0.7147989663481712,0.02667756780398431,0.6619555786252022,0.7650581508874893
Race: Other,0.6388433359265328,0.03875299791344686,0.5620411545038223,0.7120702713727951,0.5813462796509266,0.03331454805950828,0.5149306789040565,0.6425203576683998,0.5671714890599251,0.027617269961526036,0.5120531901717186,0.6200778260827065,0.5608191658854484,0.03079745677432143,0.5006648376584053,0.6164207130670547,0.6047472966313362,0.032734533733970075,0.5414420768618584,0.665768738090992
