group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6860618710517883,0.018075245444997067,0.6535128355026245,0.7158123433589936,0.627465695142746,0.016028358017664435,0.5959772288799285,0.6527940943837166,0.6296054899692536,0.016309263222091513,0.5974509105086326,0.654004019498825,0.6281702011823654,0.016065790055593963,0.5965378969907761,0.6533525109291076,0.657050022482872,0.013763993808179303,0.6330250099301338,0.6814000234007835
Gender: Male,0.700930792093277,0.024563975009202873,0.654551838338375,0.7374419629573822,0.6304260581731796,0.023668407251580887,0.5846991255879402,0.6649356499314308,0.634276595711708,0.023702026313925276,0.5896791204810142,0.6668301820755005,0.6313695460557938,0.023751698092441487,0.5854003131389618,0.6656559705734253,0.6630204528570175,0.023596388483141717,0.6192031458020211,0.6988045260310173
Gender: Female,0.6718467116355896,0.026672866263120314,0.6209072694182396,0.7112707093358039,0.6242848187685013,0.020615877389526534,0.5845759958028793,0.6511385828256607,0.6249967217445374,0.021342390462787946,0.5816078037023544,0.6532476618885994,0.6241956740617752,0.02101307974009326,0.5824871480464935,0.6518416106700897,0.6507256627082825,0.018553002398674124,0.6159789636731148,0.6789403513073922
Age: <40,0.6889792650938034,0.03324144016280058,0.6343470647931099,0.7375015467405319,0.6533498257398606,0.029355727807916995,0.6050253719091415,0.6948394507169724,0.6544715285301208,0.029174557068402555,0.6063080072402954,0.7015231743454933,0.6420472621917724,0.028271432874908277,0.5936767429113388,0.6897180035710335,0.6429487138986587,0.02816531495495637,0.5963884457945824,0.6919820666313171
Age: 40-50,0.6843519240617753,0.04636553089027098,0.6017172336578369,0.7577773973345756,0.6183087646961212,0.04446092572772437,0.5464672684669495,0.7062519922852516,0.6192376255989075,0.04339947488524448,0.5482303544878959,0.7011433631181717,0.6180720567703247,0.043827723832038784,0.5468486055731774,0.7028000310063363,0.6477375388145447,0.037199969989077326,0.5942558363080025,0.7170731872320175
Age: 50-65,0.6705403834581375,0.02732442814487152,0.61485126465559,0.7242378085851668,0.6058458358049392,0.026010582446964716,0.5607585594058037,0.6448214098811149,0.5970472931861878,0.023745868543968197,0.5553201645612716,0.6304909646511078,0.5994815945625305,0.024440923388596228,0.5565733939409256,0.63449617177248,0.6694174587726593,0.017316440402067475,0.6393240883946418,0.6949753791093827
Race: White,0.6780797064304351,0.026720588381152734,0.6398963212966919,0.732655793428421,0.6280891925096512,0.020510088855709544,0.598995816707611,0.6631989151239395,0.6297097325325012,0.020259453462627544,0.6011606335639954,0.6631989151239395,0.6280575662851333,0.020340499564865916,0.5990357637405396,0.6631989151239395,0.6356941074132919,0.019728195204848455,0.6067983344197273,0.671382100880146
Race: Black,0.6545306205749511,0.04465750583024405,0.5748056590557098,0.7146611630916595,0.6021078944206237,0.03684552388265652,0.5308716461062432,0.6584199652075767,0.5929826617240905,0.03264895272097515,0.529708331823349,0.6479491025209426,0.5954446941614151,0.034279609840402216,0.5294377371668816,0.6506244033575057,0.7316960275173188,0.02719821402451976,0.6828740060329437,0.7832652032375336
Race: Other,0.6605338156223297,0.04586882797097263,0.569368913769722,0.7275883942842483,0.5832874566316605,0.03467098825441499,0.5057633176445961,0.6359367281198501,0.5871018797159195,0.03699690328812665,0.5050858199596405,0.6452962487936019,0.5829405277967453,0.03600090034555848,0.5020252674818039,0.6377206608653069,0.61644147336483,0.03469145286649499,0.536379711329937,0.664887660741806
