group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.4955826193094254,0.006339084152486368,0.48472832441329955,0.5060735583305359,0.2902500003576279,0.0074288260063774605,0.2789499990642071,0.30478749573230746,0.5,0.0,0.5,0.5,0.36723311990499496,0.005927039606889083,0.358109225332737,0.3787174515426159,0.5805000275373459,0.01485766113940114,0.5579000294208527,0.6095750197768212
Gender: Male,0.48379156142473223,0.008432177552891993,0.4727495014667511,0.5013120353221894,0.2889780059456825,0.008746888133420817,0.2742506004869938,0.3025765262544155,0.5,0.0,0.5,0.5,0.36619080156087874,0.007033711863917201,0.35420754104852675,0.3770062021911144,0.5779560267925262,0.017493771029198062,0.5485012322664261,0.605153052508831
Gender: Female,0.5066241383552551,0.007940621747321833,0.494118944555521,0.5207081034779548,0.29151919931173326,0.009488868954908344,0.2765533298254013,0.3083723820745945,0.5,0.0,0.5,0.5,0.36821276098489764,0.007559921353091075,0.3561287984251976,0.38147293254733083,0.5830384016036987,0.018977726590182223,0.5531066596508026,0.616744764149189
Age: <40,0.4972873777151108,0.011814820289106525,0.4758257657289505,0.5174616381525994,0.24917674958705902,0.011162835359884665,0.2295005690306425,0.2679272621870041,0.5,0.0,0.5,0.5,0.3324523702263832,0.009959839891319827,0.314598997682333,0.3488915771245956,0.4983534961938858,0.022325662652931507,0.4590011537075043,0.5358544930815696
Age: 40-50,0.4973541349172592,0.014249754914288905,0.4669796347618103,0.5165118306875229,0.2821012198925018,0.016387300719699297,0.2523845389485359,0.307415821403265,0.5,0.0,0.5,0.5,0.36041419208049774,0.01347968818222571,0.33543883711099626,0.3807318516075611,0.5642024397850036,0.03277459991504635,0.5047690778970718,0.61483164280653
Age: 50-65,0.49060380905866624,0.009737235706974958,0.4733728088438511,0.5068301066756249,0.3277715101838112,0.01048778325932997,0.3095194920897484,0.34488687589764594,0.5,0.0,0.5,0.5,0.39587140679359434,0.0076705715736491075,0.38234963566064833,0.40820477679371836,0.6555430263280868,0.020975576587142004,0.6190389841794968,0.6897737830877304
Race: White,0.49569620937108994,0.008351441069470937,0.4829122141003609,0.5101933598518371,0.2541848853230476,0.012062071018984545,0.2319381069391966,0.27415398210287095,0.5,0.0,0.5,0.5,0.3368626832962036,0.010625391566704452,0.31688118875026705,0.35413298532366755,0.5083697691559792,0.024124142827307737,0.4638762138783932,0.5483079642057419
Race: Black,0.4864660918712616,0.016131494017260394,0.4562872305512428,0.5107212051749229,0.37219356894493105,0.011512606330283103,0.3469115346670151,0.38795350939035417,0.5,0.0,0.5,0.5,0.42663182467222216,0.007647874493343834,0.4096002966165543,0.43690705522894857,0.7443871319293975,0.023025209850318317,0.6938230976462364,0.7759070187807083
Race: Other,0.5048331543803215,0.012267631282964694,0.48408540412783624,0.519701997935772,0.28364068567752837,0.017834786978442967,0.2555304683744907,0.31612356528639796,0.5,0.0,0.5,0.5,0.3616233840584755,0.014463973105859689,0.3382019527256489,0.3873462550342083,0.5672813713550567,0.035669580535216155,0.5110609367489815,0.6322471618652343
