group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6439014367461204,0.025986954657217388,0.5916354537010193,0.6905028954148292,0.6006482906341553,0.022477830611958925,0.5583539992570877,0.6440700471401215,0.593285615682602,0.02062290169249874,0.5541768312454224,0.6332419082522392,0.5927449603676795,0.021346277754465723,0.5523139655590057,0.6339824452996254,0.6162356904149056,0.022168748276118623,0.5721835255622864,0.6588985085487366
Gender: Male,0.6439014367461204,0.025986954657217388,0.5916354537010193,0.6905028954148292,0.6006482906341553,0.022477830611958925,0.5583539992570877,0.6440700471401215,0.593285615682602,0.02062290169249874,0.5541768312454224,0.6332419082522392,0.5927449603676795,0.021346277754465723,0.5523139655590057,0.6339824452996254,0.6162356904149056,0.022168748276118623,0.5721835255622864,0.6588985085487366
Age: <40,0.6240853621661663,0.04306315421281812,0.5352014541625977,0.7046833455562591,0.5982223017811775,0.034930668558248876,0.5310410693287849,0.6724301353096962,0.5982099988162518,0.03493757835148722,0.5312235802412033,0.671279390156269,0.5964227602779866,0.03510250031157259,0.5304920941591262,0.6704152554273606,0.598363764077425,0.03504451871121201,0.531687830388546,0.6720354408025742
Age: 40-50,0.7013093869686127,0.05390138153612426,0.5965856641530991,0.7960010603070259,0.6359327367544174,0.04395296459583828,0.5548055931925774,0.720416022837162,0.622973414003849,0.0394378385306611,0.5487906455993652,0.6977679282426834,0.615590634316206,0.042872115113984206,0.5334590613842011,0.6966919079422951,0.63113142734766,0.0456686828162381,0.5400985971093177,0.715508571267128
Age: 50-65,0.6073508596718311,0.04061254844937862,0.5264594376087188,0.683563457429409,0.5605164682269096,0.03651943497650387,0.4923158444464207,0.6368390724062919,0.5518762687146663,0.030496728067533264,0.4925768099725246,0.6128310933709145,0.5505730115771293,0.03215757035213148,0.4906067691743374,0.6149488285183906,0.6186937698721886,0.03474369348344279,0.547870722413063,0.6836734414100647
Race: White,0.6378818004131317,0.03393014527962128,0.5726112201809883,0.7035212785005569,0.5974004846215248,0.02830137009183485,0.5434620946645736,0.6565944507718086,0.592004467368126,0.02627740595790304,0.5412708774209023,0.644997076690197,0.5865031061172485,0.026568880206934535,0.5349825277924538,0.6411383301019669,0.5942764751911164,0.027254017420262806,0.5429531306028366,0.6506279155611991
Race: Black,0.6941628390550614,0.05891884935186822,0.5775579184293747,0.809299211204052,0.622822203963995,0.04822264135730535,0.5300574183464051,0.7177122324705124,0.6244235586225987,0.05054975237963342,0.5295616433024406,0.7238492965698242,0.6211412687301636,0.048542226069586976,0.527329321205616,0.7100789070129394,0.7172681104540825,0.0454332692519025,0.619862174987793,0.8025905206799507
Race: Other,0.5665937874615192,0.058502056619335344,0.45207412242889405,0.6734129622578621,0.5336147876381874,0.050175236280533116,0.4473085582256317,0.6320671588182449,0.5314057349860668,0.04694575795241804,0.4484649866819382,0.624284291267395,0.528819877833128,0.04828741063316358,0.44575304463505744,0.6239114224910736,0.576632103651762,0.0500695214616875,0.4795301787555218,0.6684292286634445
