group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6084919780492782,0.0133694250951063,0.5851696550846099,0.6274126678705215,0.59231296479702,0.01338198980879652,0.559636989235878,0.6116287559270859,0.5826059371232987,0.012191690670015791,0.5527225509285927,0.5986429855227471,0.5807923078536987,0.012891602030687021,0.5491552814841271,0.5969467461109161,0.6093500256538391,0.011411727487225529,0.5822250112891197,0.6245250061154366
Gender: Male,0.608611312508583,0.023604355414545235,0.574968172609806,0.652542370557785,0.5765805780887604,0.022237915877078084,0.5294888868927956,0.6139113396406174,0.5687357813119889,0.021282258697577487,0.5264813497662544,0.6083294942975044,0.5659383326768875,0.02284587850362288,0.520769065618515,0.6089159086346626,0.5950031638145447,0.020431101225061366,0.5503036230802536,0.6286636769771575
Gender: Female,0.6070759326219559,0.0220552223913408,0.5634389996528626,0.639067804813385,0.6079678952693939,0.022529658578806042,0.577860064804554,0.6555732935667038,0.5958683073520661,0.017273269330913915,0.5700275063514709,0.6251549810171128,0.5944688022136688,0.017484476813706018,0.5682372719049453,0.6234708666801453,0.6230381339788437,0.017965570380420195,0.5998007535934449,0.659441651403904
Age: <40,0.5873355299234391,0.030383871383926127,0.5430566087365151,0.6490628629922867,0.5753828465938569,0.028225715244490187,0.5369921684265136,0.621390900015831,0.5725708961486816,0.02714999952106668,0.5352643117308616,0.6188204556703567,0.5678288042545319,0.027001101366665375,0.5286506384611129,0.6161994576454163,0.5721855223178863,0.026173428071819334,0.5344159319996834,0.6179718539118767
Age: 40-50,0.659910824894905,0.036394020423428104,0.5899484306573868,0.7110316559672356,0.6522264331579208,0.028558203070287606,0.6031801506876946,0.699538379907608,0.631195205450058,0.024435288188900853,0.5876304388046265,0.6704720437526703,0.6279717534780502,0.027022116571499586,0.5753882855176926,0.6678329274058342,0.65375916659832,0.026218296177719116,0.5989997148513794,0.6884741723537445
Age: 50-65,0.5674187362194061,0.024417060931721288,0.5326856315135956,0.6176553130149841,0.5505969017744065,0.01731748321179496,0.5259919673204422,0.5830755025148392,0.5432993412017822,0.014707123822850127,0.5223421365022659,0.5711055219173431,0.541874173283577,0.015964708814504607,0.5187206849455833,0.5714357405900955,0.6130525290966033,0.017641798885887367,0.579725731909275,0.6391080677509308
Race: White,0.6063707083463669,0.017590542819274645,0.5729301571846008,0.6358434170484543,0.5952832192182541,0.017201808178264704,0.561254870891571,0.6214682325720787,0.5901626497507095,0.016267001523802112,0.5581653028726578,0.6154501065611839,0.5851476609706878,0.01637236605981961,0.550300820171833,0.6111084967851639,0.5923043578863144,0.015433710684112823,0.5580816626548767,0.6161215633153915
Race: Black,0.548791192471981,0.03162375601379663,0.48812224343419075,0.5927561938762664,0.5126915335655212,0.03532865548812606,0.46124962866306307,0.5803803727030754,0.5111478835344314,0.03054336173160658,0.46759011298418046,0.5685796976089478,0.5091841623187066,0.03295049662458649,0.46130566820502283,0.571030505001545,0.6538190335035324,0.029016173776477947,0.611133623123169,0.6945769652724266
Race: Other,0.6052295416593552,0.045189856695696896,0.5555720686912536,0.7091772884130478,0.5875887513160706,0.03764578119247906,0.5306994125247002,0.678230457007885,0.5756032437086105,0.03439174571399719,0.5275824055075645,0.6606686726212502,0.5685225188732147,0.03644839107504799,0.5124972045421601,0.6547299891710281,0.5996691137552261,0.03485673249367379,0.5477975487709046,0.6759041517972946
