group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6078789252638817,0.015850206604510197,0.5773281484842301,0.636741453409195,0.5792737262845039,0.0132611726984024,0.5532268285751343,0.6046459555625916,0.5784141253232956,0.013033629331399316,0.5529037743806839,0.603148490190506,0.5784922649860382,0.013119600379546311,0.5527420580387116,0.6037950530648232,0.5927124173045158,0.013687571079369968,0.565741428732872,0.6190005958080291
Gender: Male,0.5930157610774041,0.02452520737018673,0.5464408278465271,0.6403671905398368,0.5668613474369049,0.019296690158526475,0.5298221439123154,0.603726190328598,0.5686642021536827,0.01983330803646042,0.5302374571561813,0.6066378057003021,0.564601396381855,0.019907963268748434,0.5268637090921402,0.6021090090274811,0.5688454790115356,0.02047338086769624,0.5294074922800064,0.6083827182650566
Gender: Female,0.6252532650232315,0.020228700156946177,0.5864861875772476,0.6676855117082596,0.596554602265358,0.018622319362854817,0.5599404513835907,0.6328416198492051,0.5865116330385208,0.016691200890138147,0.5539169073104858,0.6188677087426185,0.5851898644566536,0.017721360803661487,0.5510571122169494,0.6199058920145035,0.6153481837511062,0.018697448049223145,0.5808491706848145,0.6507989972829819
Age: <40,0.592705934882164,0.026569626580199457,0.5397889792919159,0.6433223485946655,0.554455600142479,0.02284027923117226,0.5081528946757317,0.5982424929738045,0.5545047065913677,0.022850486842045246,0.5081560701131821,0.5982114538550377,0.5538511350154877,0.02292687139411857,0.5074589416384697,0.5976436853408813,0.5545074435770512,0.02295326453738834,0.5078037545084954,0.5987268954515457
Age: 40-50,0.6499632406234741,0.03145597152060561,0.5878908962011338,0.7120073139667511,0.6343738085627556,0.027380276456028144,0.5811682164669036,0.6883043825626374,0.628492237329483,0.025793177101278018,0.578594695031643,0.678844453394413,0.6282713070511818,0.026455133907934802,0.5757055059075356,0.6793346703052521,0.6421415458321571,0.027277104352515517,0.5879874706268311,0.6952628210186959
Age: 50-65,0.5733650675117969,0.02519553020865944,0.5281578555703164,0.6226075336337089,0.549098342359066,0.02058476516176288,0.509089532494545,0.5904372289776803,0.5484786689579487,0.019938486994355686,0.5090099290013314,0.5872572496533394,0.5481236462891101,0.020191937938068224,0.5087809517979622,0.5877660110592842,0.5941609669327735,0.022182541049238808,0.551044850051403,0.6353538647294045
Race: White,0.6247644179463386,0.021188399459722503,0.5852332696318626,0.6655270963907242,0.59487027156353,0.018180789106727893,0.5607854053378105,0.6298354148864747,0.594256464779377,0.017963993321526033,0.5604683190584183,0.6288713425397873,0.5933955879807472,0.01802271286175818,0.5595242857933045,0.6278200536966324,0.5948425456285477,0.018309497547708595,0.5603598564863205,0.6303402483463287
Race: Black,0.5829823615550995,0.035592527469709936,0.5144476935267448,0.6512336969375611,0.5279336332678795,0.02511856012912112,0.482103968411684,0.5772912606596946,0.5313446055352687,0.028095551278105566,0.47862559407949445,0.5858561858534813,0.5264236330688,0.02694679793493172,0.4774007722735405,0.5786997467279434,0.6127707806825637,0.027558666526960075,0.5598325818777085,0.6652983665466309
Race: Other,0.548493561655283,0.034630838695446246,0.48069988936185837,0.6174118503928184,0.5376083680093289,0.02944530423127514,0.4802018620073795,0.5974235132336616,0.5356446153819561,0.02783997931400123,0.4807800427079201,0.5910902246832848,0.5338721161484719,0.02877015725716103,0.47755817249417304,0.5912518054246902,0.5600218635499478,0.031472096684454484,0.5,0.6228127673268318
