group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6366894453763962,0.017549327438150186,0.6072596162557602,0.6673031598329544,0.5987936437129975,0.01431506069968695,0.5784259140491486,0.6228698432445526,0.5976529985666275,0.01441900118829548,0.5766778737306595,0.6216709718108178,0.5977853775024414,0.014505040355223086,0.5768118128180504,0.622077862918377,0.6106500327587128,0.013748727766837074,0.5883750230073929,0.6335250094532967
Gender: Male,0.634114533662796,0.023920659228992905,0.6017527401447296,0.6812995910644531,0.5865618824958801,0.02345923224562001,0.5460157617926598,0.6281928464770317,0.5874890625476837,0.023856819204132393,0.5470857858657837,0.6288291782140731,0.58613041639328,0.02358094123853976,0.5457371458411217,0.6283989697694778,0.5940769076347351,0.022116813086016922,0.5561274945735931,0.635940645635128
Gender: Female,0.6387029111385345,0.025585641019461605,0.5972343415021897,0.6829443484544754,0.612251877784729,0.017898461504496078,0.5824264839291573,0.6466919228434562,0.6068873703479767,0.016621477523155747,0.5790615946054458,0.639696741104126,0.6074413448572159,0.017002208438852712,0.5790727615356446,0.6413018524646759,0.6264877617359161,0.018368538732598538,0.5960159182548523,0.6592337802052498
Age: <40,0.6188943415880204,0.024243532501965242,0.5688514739274979,0.6485714584589004,0.5912360578775406,0.017359922812749125,0.5608605563640594,0.6214074462652206,0.5912293642759323,0.017357475560950613,0.5606660306453705,0.6213466301560402,0.5905938774347306,0.017441851350391065,0.5599707379937172,0.6213616624474525,0.5909972816705704,0.017388836041495038,0.5602707490324974,0.6215948894619941
Age: 40-50,0.6952301949262619,0.03568209896307293,0.6333701461553574,0.7643605142831802,0.6370781093835831,0.030876224037218004,0.5887991726398468,0.6995237722992896,0.6348255306482316,0.030560298893326402,0.585967093706131,0.6926954805850982,0.6345127642154693,0.0307869859167125,0.5848133876919747,0.6935658365488052,0.6444720208644867,0.02959694648690869,0.5938066095113754,0.7011819764971733
Age: 50-65,0.5850264996290206,0.02731282965953161,0.5342491298913956,0.6372694075107574,0.5588724315166473,0.022539560350510492,0.5263685643672943,0.6003992676734924,0.556959068775177,0.021775259479069317,0.5246025383472442,0.5943157717585563,0.5570462286472321,0.022152850975090496,0.5242962390184402,0.5958437338471413,0.6066877484321594,0.021574543621980503,0.5684017270803452,0.6439996242523194
Race: White,0.6406252920627594,0.01850824271405253,0.6085275620222091,0.6734886944293975,0.601159143447876,0.018148863635287803,0.5742682352662086,0.6384972304105758,0.6009240478277207,0.01810596518692684,0.573830708861351,0.6377247422933578,0.6002548277378082,0.018531742557354836,0.5716652631759643,0.6373392134904862,0.6012434422969818,0.018683898177169714,0.5722204759716988,0.6385422348976135
Race: Black,0.632009071111679,0.030716132172570233,0.5777260839939118,0.6727594763040543,0.5801707416772842,0.024543082838082122,0.5455570340156555,0.6296773225069046,0.5835216730833054,0.027083356779391936,0.5455267503857613,0.6376098662614822,0.5811157375574112,0.02547572757690834,0.5458444133400917,0.6326578915119171,0.6766509383916854,0.020428102437920752,0.6389474362134934,0.7109905332326889
Race: Other,0.5615873634815216,0.05654595324404407,0.4827631264925003,0.683628150820732,0.5393112257122994,0.04585022709968927,0.48043978661298753,0.6429506361484526,0.5382216811180115,0.04474463684984006,0.4810135878622532,0.6387384772300719,0.5363514706492424,0.04562231048934931,0.478968046605587,0.638558855652809,0.5523071557283401,0.04632705815025969,0.4893060281872749,0.6497001126408576
