group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.663949695944786,0.01646835898962275,0.6321259915828705,0.6945886015892029,0.6349237188100815,0.0175160028308132,0.5990173369646072,0.6687884882092475,0.5805036667585373,0.011091938947258162,0.5587181627750397,0.6029770717024803,0.5589480821490288,0.014741026432756377,0.5291938439011574,0.5880127474665642,0.632501375734806,0.015446371854539204,0.6029533341526985,0.6609994903206825
Gender: Male,0.6682763209342957,0.025000151950769486,0.6195001527667046,0.7128852099180222,0.6355792836546897,0.024151058787411257,0.5891373693943024,0.6816937834024429,0.5962394798994064,0.018002642690138976,0.561496751010418,0.632590027153492,0.5846342733502388,0.02159864341136964,0.5444046407938004,0.6278838813304901,0.638435137808323,0.021896057162534514,0.5964525818824769,0.6818248972296714
Gender: Female,0.6593554009795188,0.020843319564010174,0.6188100397586822,0.6994443789124489,0.6370753117799759,0.025029026264938768,0.5855749383568764,0.6832549855113029,0.5646925961971283,0.012431045680792025,0.5404754355549812,0.5885592117905617,0.5287807359993458,0.018124429294936954,0.4926473870873451,0.5631505191326142,0.6265670031905174,0.020394765496036707,0.5879123762249947,0.6647363394498825
Age: <40,0.6384706218838692,0.02659774809479773,0.5844158679246902,0.6922532334923744,0.6017855059504509,0.025902407112948368,0.550500513613224,0.6526987835764885,0.5808064587116242,0.02087576917717951,0.5382184475660324,0.6201791554689408,0.5595466916561127,0.024137734791372004,0.5102919682860374,0.6055257692933083,0.584661084830761,0.02440370360004493,0.5331204116344452,0.6316610276699066
Age: 40-50,0.7078475745916366,0.02990302784014494,0.6464890539646149,0.7633367329835892,0.6815549039840698,0.03105721120899801,0.6192765176296234,0.7376086324453354,0.6070431202650071,0.021450322186665812,0.5637018412351609,0.6458975329995155,0.5828138566613197,0.02948847766660084,0.5245216459035873,0.6373560503125191,0.6465915286540985,0.03026853744000482,0.5848071530461312,0.7008429810404777
Age: 50-65,0.630089376270771,0.02765091443699762,0.5766197428107261,0.6832832753658294,0.6063676797747612,0.034986120376165254,0.5368148058652877,0.6742066398262977,0.5418759410083294,0.01374109161488052,0.515423895418644,0.5696547225117683,0.5104748415648938,0.020274261991170994,0.47174644395709037,0.551006729900837,0.6617737330794334,0.02399054138252041,0.6125479832291603,0.7059539541602134
Race: White,0.6658920639157295,0.02175473238304816,0.6236398220062256,0.7096670731902123,0.6300221218466758,0.020602382538122778,0.5910568803548812,0.6701258823275567,0.5960951198339463,0.015487392550998574,0.5659070879220962,0.6261370480060577,0.5695892570614814,0.0190319952150565,0.5321096524596214,0.6068373680114746,0.5996725971102714,0.020076971109978817,0.5627744421362877,0.6400009036064148
Race: Black,0.6220279905796051,0.035991368631256605,0.5511408612132073,0.6923439651727676,0.5583041086196899,0.05632146929593506,0.4507574953138828,0.6644392475485802,0.5170613545775413,0.016601295699224347,0.48631785735487937,0.550266444683075,0.48715020406246184,0.02614506588910927,0.4389809511601925,0.5370895832777023,0.726297917664051,0.02887739843055568,0.6679460376501083,0.7769493624567986
Race: Other,0.5901505281031132,0.039571592290177725,0.513522507250309,0.6665393382310867,0.5750251396596432,0.04259087640530019,0.4898127131164074,0.6552542194724083,0.5371814211606979,0.021900158493696,0.4947366163134575,0.5800461038947106,0.49685720828175545,0.03216885030355354,0.4308886803686619,0.5577886596322059,0.6001678243875503,0.03533345165119765,0.5257716953754425,0.666687835752964
