group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.5444786739349365,0.01740860429444454,0.5127075105905533,0.5775446712970733,0.2918333868384361,0.008536474490359944,0.27530813664197923,0.3082589618861675,0.5,0.0,0.5,0.5,0.36848059287667273,0.006812802088118262,0.3550951242446899,0.38138637915253637,0.5836667760014534,0.017072949959274705,0.5506162732839585,0.616517923772335
Gender: Male,0.5236631766259671,0.025696583429624244,0.4749386519193649,0.576350063085556,0.29008144414424897,0.012672512263372593,0.2653829090297222,0.316438315063715,0.5,0.0,0.5,0.5,0.366990943312645,0.010159056667662284,0.34673218950629237,0.3875838503241539,0.5801628910899163,0.025345024904270947,0.5307658180594444,0.6328766286373139
Gender: Female,0.5682255756258965,0.023182244225683355,0.5247402966022492,0.613699448108673,0.2933283558785915,0.011405520522539377,0.27200406417250633,0.3153047919273376,0.5,0.0,0.5,0.5,0.3696135411262512,0.009072114355027517,0.352335025370121,0.3867324315011501,0.586656713783741,0.02281104002094413,0.5440081283450127,0.6306095838546752
Age: <40,0.5718659490048885,0.029058516734395953,0.5148467212915421,0.6290839329361916,0.25418399734795094,0.01333937471246463,0.22841304019093514,0.2807628199458122,0.5,0.0,0.5,0.5,0.33682427555322647,0.011736930933344302,0.3135762676596642,0.3596006453037262,0.5083679949343205,0.026678749190750726,0.4568260803818703,0.5615256384015084
Age: 40-50,0.5523881473839283,0.03455639203645227,0.4795579001307487,0.6157510682940482,0.2816978917717934,0.017827943130755725,0.24549858197569846,0.31631089821457864,0.5,0.0,0.5,0.5,0.3600321292877197,0.014678975337728313,0.3293078951537609,0.38748828768730165,0.5633957851529121,0.03565588710629345,0.490997164696455,0.6326218545436859
Age: 50-65,0.5100193884074687,0.0275899549866257,0.45375007688999175,0.563826709985733,0.32729937651753427,0.01327462204532391,0.300126314163208,0.352106199413538,0.5,0.0,0.5,0.5,0.3954678112566471,0.009727986021387537,0.3750986665487289,0.41321867778897287,0.6545987521409988,0.026549245078874753,0.600252628326416,0.704212398827076
Race: White,0.5363560509085655,0.021751793585659925,0.4929023049771786,0.5796171426773071,0.25347746638953683,0.011783903670894191,0.22988961562514304,0.27682131826877593,0.5,0.0,0.5,0.5,0.33624768850207326,0.010390489172162079,0.31496488898992536,0.35635134726762774,0.5069549350142479,0.02356780795683824,0.4597792312502861,0.5536426365375519
Race: Black,0.46542451789975164,0.03764510949321556,0.3931941695511341,0.5389576196670532,0.3711221075057983,0.014197098861344104,0.3419897578656673,0.39667933583259585,0.5,0.0,0.5,0.5,0.42587447598576544,0.009401284681586968,0.4061685405671597,0.4423870727419853,0.7422442169189453,0.02839419806438832,0.6839795172214508,0.7933587282896042
Race: Other,0.5620782739520073,0.0399401717095009,0.4827943451702595,0.644949010014534,0.2941306769400835,0.01881294035930843,0.257933209836483,0.329270725697279,0.5,0.0,0.5,0.5,0.37002539619803426,0.015005895524227434,0.34031115025281905,0.39706057384610177,0.588261354893446,0.037625881588693934,0.5158663615584373,0.658541451394558
