group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6287163555622101,0.018224565015506095,0.5956172063946724,0.6563041746616364,0.590740829706192,0.015791769526211162,0.5625226080417634,0.6152644827961922,0.568834376335144,0.012535529118720825,0.5472296178340912,0.5910405710339546,0.558082926273346,0.01489334794950688,0.5320457503199577,0.5841321751475335,0.6082500338554382,0.014959530028437699,0.5797500431537628,0.6347250565886497
Gender: Male,0.619656789302826,0.02883698613608283,0.5785712659358978,0.6670050948858262,0.5696788966655731,0.027051071162500648,0.5120025277137756,0.6117976039648055,0.5595467478036881,0.023613274836226928,0.5102756947278977,0.5964992880821228,0.5540447637438775,0.02611318218485479,0.4997847698628902,0.5959396004676818,0.5899651199579239,0.02583559952855694,0.5303409397602081,0.6288077473640441
Gender: Female,0.6361901849508286,0.024686960074550377,0.5905782282352448,0.6720857620239258,0.619403463602066,0.027377224507653678,0.5770549446344375,0.672788143157959,0.5772694796323776,0.018956328216160386,0.5510531798005104,0.6130394622683525,0.5591148942708969,0.02346738371669084,0.5254361286759377,0.6019863277673722,0.6257228016853332,0.02138570083108982,0.5881079196929931,0.6633366569876671
Age: <40,0.6130643934011459,0.026549862138146967,0.5628983795642852,0.6554630562663079,0.5702036708593369,0.025826475687246667,0.5238054379820823,0.606403823196888,0.5644049137830734,0.023339505458822494,0.5222679167985916,0.5973835229873657,0.5549378603696823,0.024535393704281386,0.5127403765916825,0.5918680712580681,0.5638799130916595,0.02596790873916204,0.5196859911084175,0.6007677137851715
Age: 40-50,0.6639429867267609,0.03751405716606332,0.5897976353764534,0.7334123089909553,0.648437961935997,0.024153218875762616,0.6086873501539231,0.69587492197752,0.6054474830627441,0.020550346464451776,0.5730920046567917,0.6484799623489379,0.5908034414052963,0.025096949458876493,0.5493452355265618,0.6404795408248901,0.6390232980251312,0.021060781740775233,0.6017174735665322,0.6721906021237373
Age: 50-65,0.5867435544729233,0.02700285378293542,0.5404889196157455,0.6365672707557678,0.5384741991758346,0.03306237765559102,0.4852040812373161,0.5929235011339188,0.5232126250863075,0.020053270796327512,0.49124945476651194,0.5579068914055824,0.5054407760500907,0.025653432853805603,0.4636166416108608,0.5497428685426712,0.6257070869207382,0.026315830269120957,0.5825833708047867,0.6713031932711602
Race: White,0.6344765037298202,0.023653291949366186,0.588934314250946,0.6801004499197006,0.589769697189331,0.021145731413555757,0.553555890917778,0.6256571054458618,0.5740348607301712,0.016856084779768826,0.5445935681462288,0.6021149426698684,0.5562748104333878,0.017798129827294323,0.5239812105894088,0.5857843652367591,0.5777063071727753,0.01942937158544522,0.5429242730140686,0.6131331846117973
Race: Black,0.6154970914125443,0.03736750421901161,0.5379546761512757,0.6759684607386588,0.5610383793711662,0.03467926230445545,0.4902184300124645,0.615020827949047,0.5415641069412231,0.02381761650881809,0.4948147594928741,0.5760368049144745,0.5386697843670845,0.029928470269098437,0.4799650602042675,0.5794382438063621,0.7026425749063492,0.02388272370422498,0.6612926349043846,0.7397480636835099
Race: Other,0.5621560424566269,0.0505426322307958,0.48289390951395034,0.6775932118296623,0.5512027233839035,0.05562365760364705,0.47259943187236786,0.67023606300354,0.5369821891188622,0.039789241770784085,0.4801033303141594,0.6205804958939551,0.5185182228684425,0.044292842992952566,0.4531531363725662,0.6053769811987877,0.5713482856750488,0.046273145719773194,0.5082201421260834,0.6506481826305389
