group,AUC_mean,AUC_std,AUC_ci_lower,AUC_ci_upper,Precision_mean,Precision_std,Precision_ci_lower,Precision_ci_upper,Recall_mean,Recall_std,Recall_ci_lower,Recall_ci_upper,F1_mean,F1_std,F1_ci_lower,F1_ci_upper,Accuracy_mean,Accuracy_std,Accuracy_ci_lower,Accuracy_ci_upper
Overall,0.6351288676261901,0.015829649645242284,0.6058746114373207,0.6582976415753364,0.5877946197986603,0.016247336264336523,0.5659172743558883,0.6209408968687057,0.5676379173994064,0.01299290254429796,0.5507781654596329,0.5959497675299644,0.5576238185167313,0.01532299217301693,0.535858365893364,0.5913475513458252,0.606150034070015,0.015499276621851027,0.581000030040741,0.6382750481367111
Gender: Male,0.6202754646539688,0.023880790211323576,0.5810843229293823,0.6697896733880043,0.5781248599290848,0.022030800659285026,0.544280655682087,0.6195125713944435,0.5675848037004471,0.019926254948273287,0.5379848897457122,0.6081673994660377,0.5630826860666275,0.021703266400433126,0.5309356868267059,0.6073663830757141,0.5967987209558487,0.020031330247404274,0.5605367422103882,0.632695934176445
Gender: Female,0.6524702697992325,0.02390321164979913,0.6088744029402733,0.6842878550291062,0.602530038356781,0.028608940929049028,0.549759815633297,0.6498340770602226,0.5668296128511429,0.017333296702676245,0.5338060423731804,0.5974953174591064,0.5484831631183624,0.020447545115787995,0.5106163069605827,0.5853310704231262,0.6149694412946701,0.023546160327870595,0.5741502478718757,0.6602512001991272
Age: <40,0.6330023646354676,0.02578377020062835,0.5751714140176774,0.670831373333931,0.5605622500181198,0.026293276808257215,0.5127616807818413,0.6044520616531371,0.5570800095796585,0.02486199302095111,0.5119648084044457,0.5997432410717011,0.5500462591648102,0.025810476796037037,0.5045161381363868,0.5962501674890518,0.5566897809505462,0.02616345962405828,0.5106511175632477,0.6018113806843758
Age: 40-50,0.6556362420320511,0.03680059708295026,0.5818701267242432,0.7079946830868721,0.6419113904237748,0.037349265449339385,0.5658357828855515,0.6932762816548347,0.6025099992752075,0.029645547881596467,0.5465175911784173,0.6547722280025482,0.5885624438524246,0.03588396849187792,0.5198299407958984,0.6513663083314896,0.6354199647903442,0.03445374939435671,0.5672888696193695,0.6812862291932106
Age: 50-65,0.5882589101791382,0.026078668090056868,0.536271584033966,0.6302614346146583,0.541371987760067,0.030484222964075682,0.4932811163365841,0.6000298589468002,0.5241053089499473,0.018056506209184385,0.49571279510855676,0.5563555017113686,0.5049865186214447,0.023831434067754585,0.46934035122394563,0.5466708555817604,0.6286316990852356,0.025204145384628077,0.5860749676823616,0.6749311089515686
Race: White,0.6278318405151367,0.016983316711663442,0.5950497955083847,0.6566109791398048,0.5848111867904663,0.01844525385355391,0.5584182500839233,0.6235493078827857,0.5721523314714432,0.016039050334146113,0.549388162791729,0.6035130083560943,0.556783014535904,0.01810230686908761,0.5316741198301316,0.5952168613672256,0.5755357265472412,0.018314770183649937,0.5546798139810563,0.6158409103751182
Race: Black,0.5920929223299026,0.04362823712826343,0.49764399975538254,0.6432687640190125,0.537940077483654,0.038208065321602314,0.47300625294446946,0.5953602761030197,0.5244279846549034,0.025142190464639776,0.48089609295129776,0.5636231854557991,0.5192102462053299,0.029617088990066487,0.4676379472017288,0.5677881598472595,0.6906858026981354,0.02628922634514182,0.6470344856381416,0.7391905471682548
Race: Other,0.6207834422588349,0.046478075749462416,0.5466104626655579,0.720025187730789,0.5653463408350945,0.05719000446336036,0.46763104423880575,0.6941505849361419,0.5468422755599022,0.041465909986700994,0.47619511261582376,0.6395460888743401,0.5272214516997338,0.04777574526483424,0.44961118698120117,0.6268227279186248,0.5821438655257225,0.04837521786701853,0.5029235102236271,0.6676905766129494
